cpu_usage,memory_usage,disk_usage,network_sent_mb,network_received_mb,process_count,temperature,risk_level
40.581311290499436,45.42719682496979,49.143983840402484,499.6702437290534,1094.9974664849556,75,39.61795065338933,Warning
95.31785910894203,52.60920934375193,45.96714350604945,746.7467725125942,276.76799339806735,177,70.15969593560762,Critical
74.53942447208348,86.90926538819623,33.74000517522308,562.6667806563331,519.9595415548292,272,52.0430814505241,Critical
61.872555998718475,40.60039474539029,67.36680026791606,83.3025831117964,994.9209552867273,388,72.83057087544886,Critical
19.82177084203147,88.26847163309542,57.17668451967305,185.5802367835554,723.1340167867199,93,38.51938669302629,Warning
19.81947943193925,17.932098787902234,87.52467740127229,219.32818403091915,1107.8565579523408,133,57.539783900337625,Normal
10.51794315597895,79.91185934877677,22.504547277600544,257.8642536448449,1441.8118518342897,74,50.63319292218654,Normal
87.28673384861884,86.27928697492626,70.22169834929986,565.4033919505042,174.82003157279624,269,57.220044680066785,Critical
62.10592611560484,26.36358875536049,79.51001252390176,503.9657798253935,1064.3515745970915,342,38.25700578539522,Warning
72.26689489062431,48.73118791349804,79.23995239668795,203.16003836420893,345.51623344817176,253,78.4508851300068,Critical
6.955526958101233,24.894979719729005,89.11376943345095,67.55484345568708,621.7150911113539,242,42.001839988578396,Normal
97.14143595538945,73.5943716094796,76.86463194070053,171.43220447471808,49.294088692709735,51,35.8641575808892,Critical
84.08205087604007,58.1812991255491,92.36918480852032,984.3813126186033,203.86107343904843,251,91.77734608336002,Critical
25.172215514436235,67.17910120374889,45.947214786029534,468.5469497914723,479.66593357334955,81,46.57258294190299,Warning
22.27337188467456,27.683827026059003,59.25033450662036,867.3455047021125,512.9787079319774,138,84.68367790672764,Normal
22.42342843607621,29.057127584717758,21.09821373606547,848.7524666688433,1349.3778246931436,251,92.86823598542746,Warning
33.90301308115608,13.734759295891573,20.542691809656716,511.5195574628737,1112.7193638997726,227,67.04727197412572,Normal
54.851861005062595,38.98607816761567,38.729876395218554,706.6877084605435,1458.2744522805617,242,66.56708960285279,Warning
46.034776771001,60.37701952003074,27.86296137684865,192.75201041271228,898.6072655028607,209,57.04503469900458,Warning
32.66676831881398,87.2141422597596,40.29648669898878,688.3967049269083,362.57059813697697,342,60.53569188652369,Warning
